id,roll_no,name,age
i,r,n,a
i,r,n,a
i,r,n,a
i,r,n,a
i,r,n,a
i,r,n,a
i,r,n,a
i,r,n,a
i,r,n,a
i,r,n,a
i,r,n,a
i,r,n,a
i,r,n,a
i,r,n,a
i,r,n,a
i,r,n,a
i,r,n,a
i,r,n,a
i,r,n,a
i,r,n,a
i,r,n,a
i,r,n,a
i,r,n,a
i,r,n,a
i,r,n,a
i,r,n,a
i,r,n,a
i,r,n,a
i,r,n,a
i,r,n,a
i,r,n,a
i,r,n,a
i,r,n,a
i,r,n,a
i,r,n,a
i,r,n,a
i,r,n,a
i,r,n,a
i,r,n,a
i,r,n,a
i,r,n,a
i,r,n,a
i,r,n,a
i,r,n,a
i,r,n,a
i,r,n,a
i,r,n,a
i,r,n,a
i,r,n,a
i,r,n,a
i,r,n,a
i,r,n,a
i,r,n,a
i,r,n,a
i,r,n,a
i,r,n,a
i,r,n,a
i,r,n,a
i,r,n,a
i,r,n,a
i,r,n,a
i,r,n,a
i,r,n,a
i,r,n,a
i,r,n,a
i,r,n,a
i,r,n,a
i,r,n,a
i,r,n,a
i,r,n,a
i,r,n,a
i,r,n,a
i,r,n,a
i,r,n,a
i,r,n,a
i,r,n,a
i,r,n,a
i,r,n,a
i,r,n,a
i,r,n,a
i,r,n,a
i,r,n,a
i,r,n,a
i,r,n,a
i,r,n,a
i,r,n,a
i,r,n,a
i,r,n,a
i,r,n,a
i,r,n,a
i,r,n,a
i,r,n,a
i,r,n,a
i,r,n,a
i,r,n,a
i,r,n,a
i,r,n,a
i,r,n,a
i,r,n,a
i,r,n,a
i,r,n,a
i,r,n,a
i,r,n,a
i,r,n,a
i,r,n,a
